,Mean Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
0,-0.08212543627416678,0.5988550914992755,-0.02527282572475842,-0.021012877022527902,0.17513559332438075
1,-0.07928948806551676,0.6094332633785873,-0.022723450083345087,-0.01915053336194552,0.17152611910562315
2,-0.09002799649568241,0.5687597001684199,-0.08314969342123457,-0.047328851891189835,0.1693652781998076
3,-0.08277717062140638,0.5945851340504493,-0.00874196510560149,-0.01189376231598556,0.1723504925929888
4,-0.08290464829348476,0.5918572470581814,-0.07371246095369516,-0.042607520747484966,0.1738652472568289
5,-0.08832542409056571,0.5656592827417654,-0.0743113990008541,-0.045019040687055326,0.1721853618366093
6,-0.07353358516874034,0.6455313346623105,-0.016629553994131185,-0.01091018642303021,0.17284493488376543
7,-0.08237758375477244,0.5928845860784294,-0.061130632492765624,-0.03601965339363335,0.1709990413248637
8,-0.08740758651652565,0.5654936895878199,-0.06468732731626453,-0.04069563558047731,0.16971939513081655
9,-0.09660424964486447,0.537318972389716,-0.062131390643847095,-0.043303918742379315,0.17359824000236707
