,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.72,0.06333333333333334,0.6933333333333334,0.7066666666666667
1,0.7366666666666667,0.08,0.73,0.71
2,0.3333333333333333,0.0,0.7133333333333334,0.07333333333333333
3,0.5866666666666667,0.0033333333333333335,0.7033333333333334,0.42
4,0.33666666666666667,0.0033333333333333335,0.7033333333333334,0.08666666666666667
5,0.67,0.07,0.6933333333333334,0.6466666666666666
6,0.33,0.056666666666666664,0.7033333333333334,0.11666666666666667
7,0.33666666666666667,0.07,0.7033333333333334,0.15333333333333332
8,0.3566666666666667,0.013333333333333334,0.6466666666666666,0.09
9,0.6766666666666666,0.10666666666666667,0.6733333333333333,0.6533333333333333
