,Adversarial Debiasing,Prejudice Remover,Nondebiasing,Ensemble
0,0.7,0.7033333333333334,0.6933333333333334,0.7
1,0.6833333333333333,0.6966666666666667,0.6833333333333333,0.6833333333333333
2,0.6833333333333333,0.67,0.6833333333333333,0.6833333333333333
3,0.67,0.6966666666666667,0.68,0.6766666666666666
4,0.6466666666666666,0.6633333333333333,0.6466666666666666,0.6466666666666666
5,0.69,0.6966666666666667,0.7033333333333334,0.6933333333333334
6,0.7033333333333334,0.71,0.6966666666666667,0.7066666666666667
7,0.7,0.7166666666666667,0.7033333333333334,0.7033333333333334
8,0.7166666666666667,0.7066666666666667,0.7166666666666667,0.7166666666666667
9,0.7533333333333333,0.74,0.7533333333333333,0.7533333333333333
